"AthfatA1","NM_113415 REGION: 253..1341","949_AthFatA1_YPK_fw","948_AthFatA1_YPK_rv"
"AthfatB","NM_100724 REGION: 519..1757","945_AthFatB_YPK_fw","944_AthFatB_YPK_rv"
"EcacpH","NC_000913 REGION: complement(424337..424918)","953_acpH_YPK_fw","952_acpH_YPK_rv"
"Athmod1","NM_126612 REGION: 198..1370","",""
